Horodateur,Nom du créateur,corCrea,Nom de l'Évaluateur,corEval,Version du projet,"Aspect Technique: Qualité du Code (Lisibilité, structure, respect des standards)","Aspect Technique: Fonctionnalité et Robustesse (Absence de bugs majeurs, gestion des erreurs)","Aspect Design/UX: Interface Utilisateur (Attractivité, cohérence visuelle)","Aspect Design/UX: Expérience Utilisateur (Facilité de navigation, intuitivité)","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise HTML et sémantique]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise CSS et Responsive Design]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Complexité et efficacité du JavaScript (front-end)]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Utilisation de librairie ou framework (ex: React, Vue, Node.js)]",Innovation et Originalité du Projet,Points forts du projet,Suggestions d'amélioration,Pertinence des améliorations de la nouvelle version,Note Globale Recommandée (sur 20)
13/12/2025 21:15:43,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,2,4,4,3,4,Conforme,Partiellement Conforme,Conforme,Non Conforme,5,"Le jeu est fonctionnel et stable, sans bugs majeurs.
La logique est claire et bien structurée, avec une bonne gestion des tentatives, des erreurs et de l’historique des propositions.
L’ajout du choix de difficulté améliore l’expérience et rend le jeu plus dynamique par rapport à la première version.","Le projet pourrait être enrichi par l’ajout progressif de nouvelles fonctionnalités, comme des retours visuels plus poussés, une interface plus travaillée et, dans des versions ultérieures, des éléments sonores afin de renforcer l’interactivité et l’expérience utilisateur.",8,14
13/12/2025 21:30:44,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,3,4,4,3,4,Conforme,Conforme,Conforme,Non Conforme,6,"Le projet est fonctionnel et bien structuré.
L’ajout du système de record et de la réduction progressive de la plage de recherche rend le jeu plus guidé et plus engageant.
La logique est claire, les retours à l’utilisateur sont lisibles et l’expérience globale est fluide.","Le projet pourrait être enrichi par des améliorations visuelles plus poussées, l’ajout de retours sonores et éventuellement des animations afin de renforcer l’immersion et l’interactivité dans les versions suivantes.",7,14
14/12/2025 08:28:45,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,4,4,4,3,4,Conforme,Partiellement Conforme,Conforme,Non Conforme,6,"Le jeu fonctionne correctement, sans bug bloquant.","Le jeu est plus complet qu’avant et fonctionne bien, mais il peut encore être amélioré, surtout visuellement.",7,"14,05"
14/12/2025 08:37:45, kadiriilham634-del,kadiriilham634-del, kadiriilham634-del,kadiriilham634-del,5,4,4,3,4,Conforme,Conforme,Conforme,Non Conforme,7,"Le jeu fonctionne correctement et il n’y a pas de bugs bloquants.
Les retours visuels et sonores rendent l’utilisation plus agréable, et le mode sombre améliore le confort.
L’interface reste simple et compréhensible, avec une logique de jeu claire.
","Le projet pourrait être amélioré avec plus de modes de jeu ou des niveaux supplémentaires, et éventuellement davantage d’options de personnalisation pour les sons ou l’interface.",8,15
14/12/2025 08:43:32,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,6,4,4,4,4,Conforme,Conforme,Conforme,Non Conforme,7,"Le jeu est fluide et agréable à utiliser.
L’interface est plus soignée (couleurs, affichage, historique plus lisible) et le mode sombre est pratique. Les retours (visuels + sons) rendent le jeu plus vivant, et le record donne envie de rejouer.","On pourrait encore améliorer en ajoutant un vrai système de score global, ou plusieurs modes (chrono, classement par difficulté, etc.).
Et peut-être laisser l’utilisateur choisir le volume / activer-désactiver les sons.",8,"15,05"
15/12/2025 19:25:05, Haithem939,Haithem939, Haithem939,Haithem939,1,2,5,1,2,Conforme,Conforme,Partiellement Conforme,Non Conforme,4,Facile à comprendre,le rendre plus stylé,3,10
15/12/2025 19:28:07, Haithem939,Haithem939, Haithem939,Haithem939,2,3,5,4,5,Dépasse les attentes,Dépasse les attentes,Conforme,Partiellement Conforme,7,On a beaucoup plus de commandes que la 1ére version,Corrigé un peu la vitesse des niveaux,7,13
15/12/2025 19:32:51, Haithem939,Haithem939, Haithem939,Haithem939,3,5,5,4,5,Dépasse les attentes,Dépasse les attentes,Conforme,Non Conforme,6,"Meilleur visuel, et des couleurs lumineuses.",Rajouter mode hardcore et compte à rebours.,8,15
15/12/2025 19:39:00, Haithem939,Haithem939, Haithem939,Haithem939,4,5,5,4,5,Dépasse les attentes,Dépasse les attentes,Conforme,Non Conforme,8,"ça commence un peu à prendre forme,  avec la trainée lumineuse et une version hardcore presque impossible à gagner",Rajouter des citation et un design plus immersif,9,16
15/12/2025 19:42:24, Haithem939,Haithem939, Haithem939,Haithem939,5,5,5,5,5,Dépasse les attentes,Dépasse les attentes,Conforme,Non Conforme,9,"Immersion comme si on était dans l'espace, le carré qui change de couleur a chaque clique","Rajouter une page accueil, appuyez plus sur le design mode galaxy et le rendre plus immersif",10,18
15/12/2025 19:48:11, Haithem939,Haithem939, Haithem939,Haithem939,6,5,5,5,5,Dépasse les attentes,Dépasse les attentes,Conforme,Partiellement Conforme,10,"Page d'accueil stylé qui nous met dans l'ambiance avant le début, passage automatique des niveaux, design général plus stylé et qui répond au titre galaxy cube.",Dernière version.,10,"19,5"
15/12/2025 20:48:53,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,6,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,8,"Cohérence visuelle, ergonomie améliorée, feedback sonore et esthétique soignée.","Ajouter d'autres niveaux, et ajouter un mode sombre/clair. Ajouter des sons différents pour chaque niveau. ",8,16
15/12/2025 20:54:17,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,5,4,4,4,4,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,7,Amélioration visuelle et cohérence des niveaux et feedback sonore au démarrage et à la fin du jeu.,"Harmoniser les couleurs des encadrés avec celles des niveaux pour plus de cohérence visuelle, d’afficher le message de consigne au début du niveau spécial, et d’ajouter un message indiquant la couleur à cliquer ainsi qu’un avertissement pour la perte de points en cas d’erreur. Intégré un son de fin de partie.",7,14
15/12/2025 20:57:56,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,4,4,4,4,4,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,7,"L'ajout du niveau spécial, et la liberté de choisir le niveau que l'on veut faire. Le son lorsque l'on clique ou l'on rate une étoile. ","Ajouter un encadré sur la page de démarrage, améliorant l’esthétique. Intégré un son qui se déclenche au démarrage pour renforcer l’immersion du joueur dès le début.",7,14
15/12/2025 21:00:50,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,3,4,4,4,4,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,7,Le système de niveau qui donne du challenge au joueur. ,Ajouter un menu de sélection permettant de choisir librement entre les trois niveaux existants. Un nouveau niveau avec une règle différente.,7,14
15/12/2025 21:08:38,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,2,4,4,3,4,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,7,"L’affichage du score final lorsque le timer arrive à son terme, ainsi que le tableau récapitulatif des scores précédents.",Ajouter un système  niveaux avec des durées spécifiques et une progression conditionnée par un nombre minimum d’étoiles à attraper. Ajouter un tableau pour présenter les niveaux et leur durée au début.,6,13
15/12/2025 21:11:06,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,1,4,4,4,4,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,6,"Effet sonore lors du clic sur les étoile, et le timer qui donne du challenge au joueur. ",Afficher score final à la fin du timer et un tableau récapitulatif des scores précédents. ,5,13
16/12/2025 11:30:44,Haithem939,Haithem939,callmejeeh,callmejeeh,1,5,4,4,2,Conforme,Conforme,Conforme,Non Conforme,8,,,,
16/12/2025 11:33:45,Haithem939,Haithem939,callmejeeh,callmejeeh,2,4,4,3,2,Conforme,Conforme,Dépasse les attentes,Partiellement Conforme,,,,8,
16/12/2025 11:34:47,Haithem939,Haithem939,callmejeeh,callmejeeh,3,4,4,3,2,Conforme,Dépasse les attentes,Dépasse les attentes,Partiellement Conforme,,,,4,
16/12/2025 11:36:02,Haithem939,Haithem939,callmejeeh,callmejeeh,3,4,2,3,2,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,,,,2,
16/12/2025 11:37:32,Haithem939,Haithem939,callmejeeh,callmejeeh,5,4,2,5,2,Dépasse les attentes,Dépasse les attentes,Partiellement Conforme,Non Conforme,,,,9,
16/12/2025 11:38:21,Haithem939,Haithem939,callmejeeh,callmejeeh,6,5,5,5,5,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,,,,10,
16/12/2025 11:41:02,Ouarkia,Ouarkia,callmejeeh,callmejeeh,1,4,5,4,4,Conforme,Conforme,Dépasse les attentes,Partiellement Conforme,,,,,
16/12/2025 11:42:31,Ouarkia,Ouarkia,callmejeeh,callmejeeh,2,4,5,4,4,Conforme,Conforme,Conforme,Conforme,7,,,2,
16/12/2025 11:43:59,Ouarkia,Ouarkia,callmejeeh,callmejeeh,3,4,5,5,5,Conforme,Conforme,Conforme,Partiellement Conforme,,,,1,
16/12/2025 11:45:01,Ouarkia,Ouarkia,callmejeeh,callmejeeh,4,4,5,5,5,Conforme,Conforme,Conforme,Partiellement Conforme,,,,1,
16/12/2025 11:45:41,Ouarkia,Ouarkia,callmejeeh,callmejeeh,5,5,5,2,2,Conforme,Conforme,Conforme,Non Conforme,,,,3,
16/12/2025 11:46:31,Ouarkia,Ouarkia,callmejeeh,callmejeeh,6,5,3,4,2,Conforme,Conforme,Conforme,Non Conforme,,,,2,
16/12/2025 11:47:57,kell2107,kell2107,callmejeeh,callmejeeh,1,4,5,3,1,Conforme,Conforme,Partiellement Conforme,Conforme,,,,,
16/12/2025 11:49:01,kell2107,kell2107,callmejeeh,callmejeeh,2,4,5,2,2,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,,,,4,
16/12/2025 11:49:42,kell2107,kell2107,callmejeeh,callmejeeh,3,4,5,4,3,Conforme,Conforme,Conforme,Conforme,6,,,10,
16/12/2025 11:50:33,kell2107,kell2107,callmejeeh,callmejeeh,4,4,4,4,3,Conforme,Conforme,Conforme,Conforme,,,,3,
16/12/2025 11:51:26,kell2107,kell2107,callmejeeh,callmejeeh,5,4,4,4,5,Conforme,Conforme,Conforme,Conforme,,,,10,
16/12/2025 11:52:03,kell2107,kell2107,callmejeeh,callmejeeh,6,4,4,4,5,Conforme,Conforme,Conforme,Conforme,,,,7,
16/12/2025 15:13:37,calrifaii,calrifaii,ouarkia,Ouarkia,1,3,3,2,2,Conforme,Conforme,Conforme,Conforme,3,c'est jolie,ce n'est pas interactif,6,12
16/12/2025 15:16:56,Haitem939,Haithem939,nali-333,nali-333,1,4,3,4,2,Conforme,Conforme,Conforme,Conforme,7,ludique,des explications,,11
16/12/2025 15:17:00,calrifaii,calrifaii,ouarkia,Ouarkia,2,3,4,3,4,Conforme,Conforme,Conforme,Conforme,7,c'est devenu interactif,corriger le beug d'affichages des formes,7,13
16/12/2025 15:17:55,Haithem939 ,Haithem939,Haithem939 ,Haithem939,1,4,5,2,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,4,Simple a utiliser,Mettre plus de fonctionnalités,4,11
16/12/2025 15:17:56,fatoucmr,fatoucmr,callmejeeh,callmejeeh,1,5,5,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,,,,,
16/12/2025 15:18:19,Haitem939,Haithem939,nali-333,nali-333,2,4,4,4,3,Conforme,Conforme,Conforme,Conforme,7,Ludique,Des consignes,7,12
16/12/2025 15:18:41,Haithem939,Haithem939,THAUT627,THAUT627,1,4,3,2,2,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,Son projet est originale et esthétique,"Le carré va trop vite pour que l'on clique, ralentir un peu le carré, j'ai l'impression que le carré suis toujours le même chemin peut-être rendre le chemin du carré aléatoire.",7,12
16/12/2025 15:19:05,fatoucmr,fatoucmr,callmejeeh,callmejeeh,2,5,5,4,5,Conforme,Conforme,Conforme,Partiellement Conforme,7,,,1,
16/12/2025 15:19:59,fatoucmr,fatoucmr,callmejeeh,callmejeeh,3,5,3,4,5,Conforme,Conforme,Conforme,Partiellement Conforme,,,,8,
16/12/2025 15:21:02,fatoucmr,fatoucmr,callmejeeh,callmejeeh,4,5,3,3,,Conforme,Conforme,Conforme,Partiellement Conforme,,,,8,
16/12/2025 15:22:34,Haithem939,Haithem939,Wafa258,wafa258,1,3,4,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,3,"Le jeu est fonctionnel, absence d'erreurs pour une version 0.",Rajouter des niveaux de difficultés.,5,15
16/12/2025 15:22:37,calrifaii,calrifaii,ouarkia,Ouarkia,3,3,4,4,4,Conforme,Conforme,Conforme,Conforme,7,"les beug sont corriger, les animations sont + fluides",rendre l'affichages plus jolie avec des options musical,8,13
16/12/2025 15:22:52,Haithem939,Haithem939,Liline96,Liline96,1,4,5,5,3,Conforme,Conforme,Conforme,Conforme,8,L'interface est très belle ,Un texte pour afficher ce qu'on doit faire même si avec score on comprend que c'est un jeu et qu'on doit cliquer sur le carré ,,13
16/12/2025 15:23:21,fatoucmr,fatoucmr,callmejeeh,callmejeeh,6,5,5,3,5,Conforme,Conforme,Conforme,Partiellement Conforme,7,,"La musique au début est très forte, et parfois la couleur du score qui devrait être cliquée met du temps à apparaître comme cible. Peut-être aussi rendre la couleur de la cible plus claire pour l’utilisateur.",9,
16/12/2025 15:23:21,Haithem939 ,Haithem939,Haithem939 ,Haithem939,2,4,5,4,4,Conforme,Conforme,Conforme,Non Conforme,6,"Gestion des niveaux, détéction automatique de victoire ou défaite",Régler des details du carré,7,14
16/12/2025 15:24:19,Haithem939,Haithem939,nali-333,nali-333,3,4,4,4,3,Conforme,Conforme,Conforme,Conforme,7,Ludique,Des consignes,6,13
16/12/2025 15:24:57,calrifaii,calrifaii,ouarkia,Ouarkia,4,4,4,5,5,Conforme,Conforme,Conforme,Conforme,8,interface plus jolie et plus claire,nous laisser le choix des formes,8,14
16/12/2025 15:25:12,Liline96,Liline96,callmejeeh,callmejeeh,1,5,4,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,,,,,
16/12/2025 15:25:13,Haithem939,Haithem939,kadiriilham634-del,kadiriilham634-del,1,3,4,3,4,Partiellement Conforme,Conforme,Partiellement Conforme,Non Conforme,5,"Projet fonctionnel et facile à comprendre. Le jeu est fluide, avec une interface claire et des niveaux de difficulté bien définis. Les paramètres et les retours visuels rendent l’expérience agréable.",Améliorer l’aspect visuel du jeu.,6,14
16/12/2025 15:25:50,Haithem939,Haithem939,Fatoucmr,fatoucmr,1,4,3,3,3,Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,6,"Originalité, facile à prendre comprendre.","Ajouter un timer, faire en sorte que le carré va moins vite ou mettre un système de vitesse, un son lors du clic.",,12
16/12/2025 15:26:05,calrifaii,calrifaii,ouarkia,Ouarkia,5,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,"aucun bug, interface jolie",nous donner le choix des formes,9,15
16/12/2025 15:26:59,Haithem939 ,Haithem939,Haithem939 ,Haithem939,3,5,5,4,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,7,"Les vitesse bien réglés, et ajout d'emojis qui rend bien",Rendre le panneau de controle plus moderne,7,15
16/12/2025 15:27:04,Haithem939,Haithem939,lcruz-almeida,lcruz-almeida,1,4,4,3,2,Conforme,Conforme,Partiellement Conforme,Conforme,5,score,les phrases,,12
16/12/2025 15:27:09,Haithem939,Haithem939,sakeenasn,sakeenasn,1,4,4,3,2,Conforme,Conforme,Partiellement Conforme,Conforme,5,Le comptage des scores,Le niveau du jeux,,14
16/12/2025 15:27:23,calrifaii,calrifaii,ouarkia,Ouarkia,5,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,on à le choix des effets et y'a un son,"nous laisser le choix des formes, pas seulementl'effet",9,16
16/12/2025 15:27:54,haithem939,Haithem939,kada798,kada798,1,3,3,3,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,4,Minimalisme,ajouter explications dans le jeux,5,13
16/12/2025 15:28:06,Haithem939,Haithem939,Liline96,Liline96,2,4,4,5,5,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,8,L'interface toujours aussi bonne ,Avoir une difficulté plus facile  ,9,14
16/12/2025 15:28:41,Haithem939,Haithem939,Wafa258,wafa258,1,3,4,3,3,Partiellement Conforme,Conforme,Conforme,Non Conforme,5,Je trouve pertinent le fait qu'on peut choisir la vitesse. ,Ajouter des récompenses de satisfaction. ,6,15
16/12/2025 15:29:05,Liline96,Liline96,callmejeeh,callmejeeh,2,5,4,3,1,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,,,,2,
16/12/2025 15:29:08,Haithem939,Haithem939,THAUT627,THAUT627,2,4,3,4,4,Conforme,Partiellement Conforme,Conforme,Non Conforme,6,Ajout d'un interface utilisateur pour contrôler la vitesse du carré.,A la fin du niveau au lieu du pop up ajouté un texte comme quoi le joueur a gagné c'est moins envahissant qu'un pop up à mon avis. Il faudrait stopper le carré à la fin du temps imparti encore une pour prévenir que le jeu est terminé. ,7,14
16/12/2025 15:29:48,Liline96,Liline96,callmejeeh,callmejeeh,3,4,5,3,4,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,1,,,3,
16/12/2025 15:30:01,Haithem939 ,Haithem939,Haithem939 ,Haithem939,4,5,5,5,5,Conforme,Conforme,Partiellement Conforme,,8,Panneau de contrôle plus moderne,Rajouter un mode hardcore,8,16
16/12/2025 15:30:15,Haithem939,Haithem939,nali-333,nali-333,4,4,4,4,3,Conforme,Conforme,Conforme,Conforme,7,Amusant,Manque de consignes,7,"13,5"
16/12/2025 15:30:29,cruz-almeida,lcruz-almeida,ouarkia,Ouarkia,1,3,3,2,2,Conforme,Conforme,Conforme,Conforme,3,jolie animation,inclure une option d'écriture dans le livre,6,11
16/12/2025 15:30:47,Liline96,Liline96,callmejeeh,callmejeeh,4,4,4,3,4,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,,,,1,
16/12/2025 15:31:32,haithem939,Haithem939,kada798,kada798,2,3,4,3,4,Conforme,Partiellement Conforme,Conforme,Partiellement Conforme,5,ajouter differents niveux,rien,6,14
16/12/2025 15:31:34,Liline96,Liline96,callmejeeh,callmejeeh,5,4,4,3,3,Conforme,Conforme,Conforme,Conforme,,,,3,
16/12/2025 15:31:46,cruz-almeida,lcruz-almeida,ouarkia,Ouarkia,2,2,2,2,2,Conforme,Conforme,Conforme,Conforme,4,l'effet néon est jolie,"donner un titre au livre et un effet plus ""wow""",6,12
16/12/2025 15:31:52,Haithem939,Haithem939,Wafa258,wafa258,2,4,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,6,Le jeu devient plus amusant. ,Changer les couleurs du background pour une meilleure expérience.,6,15
16/12/2025 15:32:03,Haithem939,Haithem939,nali-333,nali-333,5,4,4,3,3,Conforme,Conforme,Conforme,Conforme,7,Ludique,Consignes,5,"13,5"
16/12/2025 15:32:10,Haithem939,Haithem939,Liline96,Liline96,3,4,4,5,4,Conforme,Conforme,Conforme,Conforme,8,L'interface toujours aussi belle ,"La difficulté est toujours trop élevée malgré le niveau facile. Il arrive souvent qu'en faisant un double clic on se retrouve incapable de mettre un score. C'est fonctionnel et en somme ce n'est pas un bug, mais cela empêche de jouer. ",7,14
16/12/2025 15:32:36,Haithem939,Haithem939,sakeenasn,sakeenasn,1,3,4,3,4,Conforme,Conforme,Conforme,Conforme,7,Les niveaux,,6,14
16/12/2025 15:32:37,Haithem939,Haithem939,lcruz-almeida,lcruz-almeida,1,3,4,3,4,Conforme,Conforme,Conforme,Conforme,6,les niveaux,,6,13
16/12/2025 15:32:54,Haithem939,Haithem939,kadiriilham634-del,kadiriilham634-del,2,3,4,3,3,Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,6,Le projet fonctionne bien et est facile à comprendre.,Le projet pourrait être amélioré en rendant l’interface plus agréable.,6,14
16/12/2025 15:33:03,cruz-almeida,lcruz-almeida,ouarkia,Ouarkia,3,3,3,3,3,Conforme,Conforme,Conforme,Conforme,6,changement d'ambiance possible et titre ,rendre les etincelle + waw ,7,13
16/12/2025 15:33:08,Haithem939,Haithem939,Fatoucmr,fatoucmr,2,4,3,4,4,Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,7,"Jeu fluide et stable,  facile à comprendre, ajout de nouvelles fonctionnalités qui rendent le jeu plus attractif. ","Ajouter un autre son lorsque l'on clic, ajouter un son lorsque le carré touche les rebords ou qu'il change de couleur. ",7,13
16/12/2025 15:33:12,Liline96,Liline96,callmejeeh,callmejeeh,6,5,5,3,3,Conforme,Conforme,Conforme,Conforme,,Les boutons pour enregistrer le son et le mode sombre.,Je crois que la musique est trop forte,9,
16/12/2025 15:33:40,Haithem939,Haithem939,Haithem939,Haithem939,5,5,5,5,5,Conforme,Conforme,Conforme,,8,"Mode hardcore, compte a rebours avant le début",Rendre le design plus spatiale,8,16
16/12/2025 15:34:26,Haithem939,Haithem939,nali-333,nali-333,6,4,3,4,4,Conforme,Conforme,Conforme,Conforme,7,Amusant,"Ajout de consignes
Bug on peut cliquer pendant le décompte",6,14
16/12/2025 15:34:38,cruz-almeida,lcruz-almeida,ouarkia,Ouarkia,4,3,3,3,3,Conforme,Conforme,Conforme,Conforme,7,bcp d'options proposer,"certain bouton ne marchent pas, à corriger",8,13
16/12/2025 15:34:48,Haithem939,Haithem939,Wafa258,wafa258,3,4,4,4,4,Conforme,Conforme,Conforme,Non Conforme,6,Amélioration de l'UI design ce qui rend le jeu plus attractif. ,Ajouter d'autres formes. ,6,15
16/12/2025 15:35:16,sakeenasn,sakeenasn,callmejeeh,callmejeeh,1,4,3,3,2,Conforme,Conforme,Conforme,Partiellement Conforme,6,L'animation et les informations,"Les 'cibles' sont très rapides, il est difficile d'appuyer",,
16/12/2025 15:35:26,Haithem939,Haithem939,Haithem939,Haithem939,6,5,5,5,5,Conforme,Conforme,Conforme,,9,Design immersif,Mettre une page d'accueil,9,18
16/12/2025 15:35:49,Haithem939,Haithem939,lcruz-almeida,lcruz-almeida,2,4,4,3,4,Conforme,Conforme,Conforme,Conforme,5,niveaux,le visuel ,5,10
16/12/2025 15:35:52,Haithem939,Haithem939,sakeenasn,sakeenasn,2,4,4,3,4,Conforme,Conforme,Conforme,Conforme,5,Les niveaux ,Le visuel,5,13
16/12/2025 15:36:00,cruz-almeida,lcruz-almeida,ouarkia,Ouarkia,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,les options marchent toutes,"le feu est à la mauvaise place, à corriger",8,14
16/12/2025 15:36:21,sakeenasn,sakeenasn,callmejeeh,callmejeeh,2,3,3,4,3,Conforme,Conforme,Conforme,,,,,9,
16/12/2025 15:36:30,Haithem939,Haithem939,Liline96,Liline96,3,5,4,5,5,Conforme,Dépasse les attentes,Conforme,Conforme,9,Un glow up de l'interface largement apprécié,Le responsive du jeu est un peu capricieux au point que la forme ne bouge pas. En difficile toujours le problème du clic,9,16
16/12/2025 15:37:13,Haithem939,Haithem939,THAUT627,THAUT627,2,4,3,4,4,Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,6,L'iu du jeu est simple mais marche complèment dans le jeu,Vitesse manuelle et temps en seconde on ne peut pas changer les valeurs donc soit l'indiquer directement et pas sur le coté ou faire en sorte que le joueur puisse modifier tout seul les valeurs qu'il veut.,2,13
